year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1884,2.7,1.4,1.8,2.2,5,7.9,10.3,10.5,9,4.9,1.8,0.9,---,3.01,9.59,5.24,4.88
1885,-0.3,1.3,-0.1,2.5,3.5,7.8,9.5,8.1,6.8,3.1,2.3,0.3,0.61,1.97,8.48,4.03,3.74
1886,-1.5,-1.8,-0.1,2.2,4.7,7.5,9.8,10,8.1,6.9,3,-1.7,-0.96,2.24,9.1,5.99,3.94
1887,-0.7,0.2,-0.1,0.9,4.6,8.8,10.6,9,6.8,2.9,1.2,-0.7,-0.75,1.8,9.46,3.64,3.65
1888,0.2,-1.4,-0.9,1.7,4.6,7.3,8.7,8.8,7,3.8,4.2,1.6,-0.64,1.78,8.29,4.97,3.8
1889,0.3,-0.8,0.4,2.6,7.2,9,9.2,9.6,7.6,4.3,3.3,0.2,0.43,3.4,9.3,5.06,4.45
1890,1.9,-0.2,1.4,2,6,8.4,9.1,9.1,9.3,5.3,1.8,-2.3,0.68,3.12,8.86,5.46,4.33
1891,-1.7,0.3,-0.6,1.1,3.9,8.6,9.7,9.5,8.8,4.8,1.8,0.5,-1.29,1.47,9.28,5.11,3.9
1892,-1.3,-0.4,-1.9,0.9,5.3,7.2,8.8,9.7,6.9,2.7,2.9,-1.5,-0.4,1.41,8.59,4.16,3.28
1893,-0.9,0.7,1.4,3.1,6.8,8.9,10.6,11.3,7.3,5.1,1.1,1.1,-0.59,3.76,10.27,4.52,4.74
1894,-0.3,0.7,1,4,3.8,8,10.3,9.6,6.6,4.5,4.1,1.5,0.47,2.94,9.32,5.06,4.5
1895,-3.4,-6,0.8,3,5.5,7.7,9.6,10.4,9.2,2.5,3.3,0.5,-2.52,3.09,9.27,4.97,3.65
1896,1.3,1.2,1.9,3.9,5.6,9.6,10,9,8.4,2.5,1.3,0.4,0.96,3.79,9.53,4.05,4.59
1897,-1.5,1.9,2.1,1.9,4,9,10.1,10.7,6.8,5.3,3.8,0.9,0.2,2.67,9.93,5.32,4.6
1898,3.2,0.5,-0.1,3.2,5.3,7.9,9,10.4,9,7,2.9,3.3,1.59,2.82,9.1,6.34,5.18
1899,0.6,0.4,0,2.9,4.1,8.7,11.2,11,8,4.4,4.9,-1,1.5,2.32,10.32,5.74,4.62
1900,1,-1.9,-0.6,2.7,4.9,8.8,11.2,9.8,7.8,4.6,3.3,3.4,-0.57,2.34,9.94,5.21,4.62
1901,0.3,-1.2,0.3,2.5,5.1,7.6,11.4,10,8.9,4.6,1.2,-0.1,0.9,2.65,9.72,4.89,4.26
1902,0.9,-2.2,2.1,2,3.5,7.9,8.8,8.7,7.9,5.2,3.6,1.5,-0.41,2.54,8.46,5.52,4.18
1903,0.5,2.8,2.3,1.4,5.4,7.2,9.4,8.9,7.9,6.2,2.5,0.1,1.57,3.02,8.51,5.53,4.56
1904,0.8,-0.1,0.1,3.7,5.3,7.7,10.6,9.4,7.4,5.3,1.6,0.8,0.28,3.02,9.25,4.79,4.4
1905,0.6,1.2,2.1,2.5,5,8.9,11.1,9.5,7.6,2.8,1.4,2.2,0.87,3.21,9.8,3.91,4.59
1906,1.7,-0.9,0.4,1,5.2,8.2,9.3,10.8,7.8,6.1,3.9,-0.2,1.09,2.21,9.42,5.95,4.47
1907,0.4,-1.1,1,2.6,5.1,7.4,8.8,8.8,7.8,5.4,2.5,1.4,-0.29,2.92,8.36,5.22,4.21
1908,-0.7,1.5,0.1,1.2,6.6,8.1,10.1,9,8.1,7.6,3.5,0.9,0.69,2.63,9.06,6.42,4.67
1909,0.3,-0.5,-0.7,2.6,4.3,7,9.5,9.7,7.1,5.7,0.6,-0.2,0.27,2.08,8.73,4.49,3.81
1910,-0.4,0.7,1.4,2,5.5,8.6,9.2,10.3,7.6,6.6,-0.5,3,0.01,2.99,9.36,4.62,4.54
1911,0.8,0.7,1.1,2.7,6.5,8.3,10.7,11.5,7.7,4.7,2.1,2.5,1.51,3.43,10.18,4.85,4.98
1912,0.3,1.2,2.9,3,6.1,8.6,10.4,8.1,6.4,3.4,2.6,2.3,1.33,4,9.05,4.14,4.63
1913,0.9,0.9,1.4,2.9,5.7,8.2,9.4,9.3,8.7,6.6,4,1.6,1.4,3.35,9,6.45,5.01
1914,0.2,2.4,1.4,3.6,5,8.2,10.4,10.2,7.6,5.9,2.6,0.7,1.38,3.36,9.63,5.38,4.88
1915,0.6,0.1,0.6,2.5,4.3,7.6,9.3,10.1,7.8,4.7,-0.7,1.2,0.46,2.5,9,3.92,4.03
1916,3.5,0,-0.3,2.7,5.5,6.7,9.8,10.5,8.2,6.1,3.3,-0.7,1.6,2.65,9,5.83,4.61
1917,-0.7,-2,-1,0.2,5.9,8.4,9.9,10.9,8.9,2.9,4.1,-0.8,-1.13,1.75,9.77,5.26,3.93
1918,-0.3,2.9,1.1,1.9,6.5,7,9.6,10.7,6.8,5.1,1.6,2.9,0.5,3.22,9.12,4.47,4.67
1919,-0.1,-1.6,-0.8,2.2,6.6,8,8.6,9.8,7.3,3.3,-0.6,1.4,0.48,2.68,8.79,3.34,3.71
1920,0.8,1.7,2.1,3.6,6,8.4,9.3,8.6,7.7,6,3.4,0.8,1.33,3.92,8.75,5.7,4.88
1921,3.1,1.2,2.3,2.5,5.1,7.9,11,9.9,8.4,7.6,1.4,2.8,1.7,3.3,9.59,5.81,5.29
1922,0.3,0.7,0.8,0.4,6,7.6,8.4,8.5,7.2,4,2.2,2.5,1.28,2.42,8.21,4.45,4.08
1923,2.1,2.2,2.2,2.7,4,7.4,11.5,9.5,7.1,5.5,-0.3,0.3,2.28,2.99,9.51,4.12,4.56
1924,1.4,0.3,-0.9,1.9,5.9,8.4,9.8,9.4,8.5,5.9,3.8,3.7,0.68,2.28,9.19,6.06,4.84
1925,2,1.1,1,2.3,6.3,8.3,10.9,10.3,6.7,6,0.4,-0.7,2.29,3.2,9.86,4.35,4.58
1926,1.3,2.9,2.2,4.1,4.7,7.9,11.1,10.6,9,3.3,2.1,1.3,1.1,3.65,9.89,4.8,5.05
1927,1.1,0.6,2.8,2.8,4.9,6.7,10.8,10.5,7.8,5.7,2.5,-0.5,1.02,3.5,9.32,5.31,4.66
1928,1.2,1.6,1.8,3.2,5.2,7,10,9.9,6.9,5.6,3.7,0.3,0.75,3.4,9,5.42,4.72
1929,-1.4,-2.3,0.2,1.4,5.1,7.4,9.8,9.8,9.2,5,2.7,2.1,-1.09,2.28,8.99,5.61,4.13
1930,1.5,-0.9,0.6,3.7,5.3,8.8,10.2,10.4,8.9,6.2,1.9,1.3,0.97,3.18,9.82,5.68,4.86
1931,-0.1,0.2,-0.7,3.1,5.8,8.7,10.5,9.2,7,4.3,4.1,2.5,0.46,2.73,9.46,5.14,4.57
1932,2.5,0.2,0.4,1.9,5.4,7.9,10.8,11.2,8,4.3,3,2.4,1.76,2.55,10.02,5.1,4.86
1933,-0.9,0.3,2.1,3.8,6.3,9,11.7,11.2,9,6,2.4,-0.5,0.6,4.06,10.64,5.8,5.05
1934,1,0.5,0.3,2.7,5.3,8.6,11.2,9.7,8.7,6,2.6,4.8,0.35,2.8,9.86,5.75,5.16
1935,1.6,1.8,2.1,3,4.2,9.1,10.5,10.3,8.3,5,2.7,-0.4,2.74,3.1,10.01,5.35,4.88
1936,0.1,-1,2.7,1.4,5.6,8.5,10.4,10.5,9.5,4.8,1.9,1.6,-0.43,3.25,9.82,5.39,4.69
1937,1.6,1.3,-0.8,4.4,6.3,8.3,10.5,10.5,7.9,5.7,1.9,-0.4,1.52,3.28,9.81,5.16,4.79
1938,2,1.3,4.1,2.2,4.9,8.5,9.6,10.2,8.5,6,5,0.9,0.95,3.76,9.44,6.53,5.3
1939,0.4,1.9,1.9,3.2,5.6,8,10.1,10.8,9.1,3.9,4.5,0.4,1.04,3.57,9.66,5.82,5
1940,-4.1,-0.6,1.2,3.3,6.2,9.3,9.4,9.6,6.9,5.4,2.9,0.7,-1.47,3.59,9.46,5.1,4.21
1941,-2.5,-0.7,0.3,1.9,3.8,8.5,10.8,9.5,9.7,5.9,2.6,2.1,-0.86,1.98,9.62,6.05,4.35
1942,-1.6,-2.8,0.6,3.2,4.8,7.7,9.8,11,8.4,6,1.5,3.1,-0.69,2.88,9.5,5.28,4.35
1943,1.4,2.1,2,5,5.5,8.6,9.8,10.1,7.8,6.2,2.7,0.8,2.19,4.13,9.51,5.58,5.18
1944,2.3,0.2,0.6,4.5,5.1,8,11.1,11,7.2,5.1,2.1,0.6,1.11,3.4,10.07,4.76,4.83
1945,-3.1,2.9,3.3,4.1,6,8.8,11,10.3,9.5,6.9,4.1,1.9,0.05,4.47,10.03,6.81,5.47
1946,-0.3,2.2,0.8,3.8,4.8,7.7,10.4,9.2,9.3,5.7,4.2,-0.3,1.24,3.14,9.11,6.4,4.8
1947,-0.7,-4.3,-1.1,3.3,6.8,9.4,11.1,11.3,9,6,3,1.9,-1.7,3.01,10.63,6.02,4.71
1948,1.1,1.1,2.8,3.3,4.7,8.3,10.1,9.9,8.8,5.5,3.7,2.3,1.39,3.6,9.48,6,5.15
1949,1.7,1.4,0.8,4.6,5,8.2,10.8,10.7,10.5,7.3,3,2,1.78,3.45,9.91,6.93,5.51
1950,1.4,0.8,2.7,2.5,5.7,9.7,10.5,10.2,8.3,5.5,1.8,-1.7,1.44,3.64,10.1,5.21,4.8
1951,0.4,-0.1,0.1,1.5,4.6,7.5,10.4,9.8,9.1,5.6,4.5,1.9,-0.5,2.06,9.24,6.4,4.62
1952,-1.2,-0.4,2.4,3.8,7.1,8.2,10.8,10.5,6.2,4.8,0.7,-0.1,0.12,4.49,9.86,3.91,4.45
1953,0.8,0.9,0.5,1.9,6.8,8.9,10.3,10.4,9.1,5.7,4.9,3.7,0.53,3.08,9.86,6.55,5.34
1954,0.1,-1,1.4,2.1,6,8.5,9.3,9.7,7.5,7.3,2.7,3.1,0.99,3.21,9.16,5.86,4.77
1955,-0.8,-2.6,-1.1,3.8,4.3,8.2,10.6,11.6,8.9,4.4,3.7,1.6,-0.01,2.31,10.15,5.68,4.43
1956,-0.1,-3.3,1.6,1.3,5.7,7.6,10.5,8.4,9.5,5.3,2.9,2.9,-0.54,2.88,8.86,5.89,4.39
1957,1.5,0.7,4.6,3.4,4.7,7.9,11.1,10.4,7.9,6.3,3.2,0.9,1.74,4.27,9.83,5.79,5.26
1958,-0.4,0.3,-0.6,2.3,5.2,8.3,10.4,10.7,10.1,6.8,3,1,0.28,2.33,9.81,6.64,4.79
1959,-2.2,0.7,2.9,4.1,6.2,8.9,10.7,11.2,8.3,7.4,3.3,2.1,-0.18,4.42,10.29,6.34,5.34
1960,0.4,-0.5,2.4,3.8,6.8,9.5,9.9,9.6,8.1,6.5,3.1,0.3,0.69,4.36,9.68,5.88,5.01
1961,0,3,3.3,4.8,5.3,8.3,9.7,9.9,9.5,6.3,2.3,-1.3,1.03,4.48,9.27,6.07,5.09
1962,0.6,0.8,-1.8,2.4,5.1,7.5,9.3,9.3,7.9,6.1,2,-1,-0.03,1.86,8.71,5.35,4.02
1963,-4.5,-4,1.5,3.6,5,9.1,9.3,9.4,7.9,6.5,3.8,-0.3,-3.14,3.35,9.27,6.07,3.98
1964,0.6,1,1,4,7.3,8.4,10.3,9.6,8.1,4.2,3.4,-0.3,0.41,4.1,9.45,5.26,4.81
1965,-0.2,0,0.3,2.7,6.1,8.6,8.8,9.3,7.7,6.3,0.8,0.5,-0.19,3.05,8.91,4.95,4.27
1966,-0.1,1.6,2.2,2.6,5.2,9.8,9.5,9.2,9.1,5.6,1.7,1.3,0.64,3.36,9.47,5.45,4.82
1967,1.2,1.7,2.7,3,5.1,8,10.6,10.1,8.8,6.3,1.7,1,1.41,3.6,9.59,5.6,5.04
1968,0.8,-1.8,1.8,2.5,4.4,8.7,9.6,10.1,9,8.4,3.1,0.2,0.03,2.88,9.47,6.87,4.76
1969,1.9,-2.5,-0.4,1.9,5.8,7.8,10.7,11.1,8.9,8.3,0.9,0.1,-0.06,2.46,9.88,6.07,4.6
1970,0.4,-1.3,-0.4,1.9,6.9,9.6,9.7,10.5,9.2,6.1,3.5,1.1,-0.24,2.79,9.93,6.25,4.79
1971,1.4,1,1.1,2.8,5.6,7.3,10.4,10.4,8.6,6.5,2.1,3.6,1.19,3.17,9.41,5.73,5.11
1972,0.8,0.9,1.5,3.7,5.6,6.6,9.8,9.3,6.5,5.9,2.1,2,1.82,3.61,8.59,4.86,4.59
1973,1.5,0.3,1.2,2.1,5.9,8.7,10.2,10.5,8.9,4.6,1.9,1,1.33,3.06,9.83,5.12,4.76
1974,2.3,1.7,1.3,2.4,5.4,7.9,9.8,9.5,7.2,3.9,2.8,4.1,1.67,3.05,9.08,4.62,4.88
1975,2.5,0.8,0.8,3.4,4.3,7.7,11.1,11.9,7.8,5.8,2.2,2,2.52,2.82,10.26,5.27,5.06
1976,2.1,1.2,0.8,3.1,6.2,9.9,11.4,10,8.6,6.4,2.2,-1.2,1.77,3.35,10.44,5.74,5.07
1977,-0.7,1,2.7,2.4,4.7,7,10.2,9.8,8.2,7.5,2.3,2.8,-0.34,3.27,9.04,6,4.85
1978,-0.4,-1.4,2.1,2,5.7,8.2,9.5,10.1,9.1,7.5,4.3,1,0.4,3.3,9.29,6.97,4.86
1979,-3.7,-1.9,0.4,2.9,4.3,8.5,10.2,9.4,7.9,6.9,2.4,1.9,-1.51,2.51,9.4,5.74,4.14
1980,-0.9,1.8,0.6,3.4,4.9,8.7,9.5,10.6,9.8,4.5,3,1.9,0.93,2.96,9.61,5.77,4.82
1981,0.9,-0.3,3.4,2.7,6.2,8.3,10.2,10.4,9.1,3.5,3.5,-3,0.83,4.1,9.68,5.35,4.6
1982,-0.8,1.3,1.4,3.2,5.1,9.6,10.7,10.5,8.6,6.1,3.9,0.4,-0.91,3.23,10.28,6.19,5.02
1983,2.7,-1.5,2.5,1.6,5.4,8.6,12,11.1,8.8,5.9,3.9,2.3,0.61,3.18,10.59,6.21,5.33
1984,-0.6,0.4,1,2.3,4.3,8.8,10.1,11,8.8,6.3,4.4,1.8,0.71,2.52,9.98,6.47,4.89
1985,-2.4,-1,0.3,3.5,5.6,7.3,10.6,9.8,9.1,6.6,0,2.6,-0.53,3.12,9.25,5.23,4.36
1986,-0.1,-3.6,0.8,1.2,6.1,8.6,10.4,8.5,5.9,6.3,3.5,2,-0.27,2.7,9.18,5.24,4.18
1987,-1.8,-0.3,0.1,4.5,4.8,7.6,10.6,10.2,8.4,4.9,3.4,2.4,-0.04,3.13,9.53,5.55,4.6
1988,1.5,1.1,2,3.3,6,9,10.2,10,8.6,6.3,1.6,4.2,1.67,3.78,9.76,5.48,5.33
1989,3,1.7,2.4,1.9,6.4,8,11.4,10.5,8.9,7.3,2.8,0.9,3.01,3.58,9.96,6.32,5.45
1990,2.7,3.1,3.8,2.5,6.2,8.5,10.3,11.7,7.7,7.6,3.2,1.1,2.23,4.16,10.2,6.15,5.72
1991,-0.2,-1.7,3.3,3.2,6,7.2,11.9,11.2,8.4,6,2.8,1.4,-0.22,4.17,10.11,5.78,5.01
1992,0.6,1.6,3.1,3.8,7.1,9.5,10.8,10.1,8.4,3.4,3,0.4,1.21,4.68,10.13,4.93,5.17
1993,1.7,2.3,2,4.6,5.9,9.1,9.9,9,7.5,4.1,1.2,1.2,1.43,4.18,9.34,4.27,4.9
1994,1.3,-0.3,2.9,3.1,5.2,8.6,11.2,10.4,8,5.5,6.4,2.4,0.75,3.76,10.09,6.61,5.43
1995,0.5,2.1,0.6,3.6,5.6,8.3,11.8,11.8,8.6,8.2,3.9,-0.9,1.66,3.3,10.66,6.93,5.37
1996,2.2,-1.1,1.1,3.5,3.8,8,10.1,10.8,8.6,7.1,1.5,0,0.12,2.78,9.67,5.75,4.66
1997,-0.6,2.2,3.6,3.7,5.6,8.9,10.8,12.7,8.7,5.5,5.1,2.5,0.49,4.27,10.81,6.43,5.74
1998,1.6,3.8,3.4,3.1,7.2,9,10.5,10.3,9.9,5.9,2.2,1.9,2.6,4.59,9.91,6.02,5.74
1999,1.8,1.3,2.8,4.5,7.5,8.2,11.3,10.6,10.2,6.5,4,0.7,1.67,4.93,10.06,6.9,5.82
2000,1.4,2,3.1,3,6.3,9.1,10,10.8,9.9,6.1,3,2.2,1.37,4.11,9.97,6.3,5.57
2001,-0.2,0.1,0.7,2.9,6.5,8.4,11.1,11,8.9,9.4,3.5,0,0.74,3.36,10.18,7.27,5.22
2002,2.1,2.5,2.7,3.8,6.8,9.3,10.4,11.6,8.9,5.3,4.9,2.8,1.46,4.46,10.44,6.35,5.94
2003,1,0,2.1,4.1,6.7,10.1,12.1,11.7,8.2,4.2,4.3,1.2,1.29,4.29,11.28,5.57,5.5
2004,1.7,1.3,2.1,4.7,6.5,9.8,10.3,12.2,9.7,6.2,4.3,2,1.4,4.43,10.79,6.74,5.91
2005,2.5,1,3.2,3.9,5.7,9.8,11.2,10.4,9.8,8.7,2.2,1.2,1.83,4.25,10.47,6.92,5.82
2006,1.3,0.7,0.7,3.4,6.5,9.6,12.4,11.1,11.3,8.4,3.9,2.9,1.05,3.55,11.08,7.88,6.06
2007,3.2,2.1,2.5,5.3,6.5,9.8,10.5,10.2,8.7,6.6,3.8,1.4,2.75,4.73,10.18,6.37,5.9
2008,2.4,0.9,1.7,3,7.5,8.6,11.2,11.8,8.8,5.1,3.5,0.2,1.59,4.11,10.56,5.78,5.42
2009,-0.1,0.9,2.2,4.5,6.4,9,11.1,11.4,9.4,7,4.6,-0.8,0.34,4.38,10.51,7.01,5.5
2010,-1.7,-1.1,1.2,3.2,5.1,9.3,11.6,10.2,9,6,1.4,-4.1,-1.2,3.19,10.35,5.47,4.2
2011,0.4,2.6,1.8,5.7,6.8,8.2,9.7,10.2,10,7.9,5.8,2,-0.49,4.74,9.37,7.91,5.93
2012,1.8,1.2,3.4,2.5,6,8.7,10.3,11.3,8,4.8,2.8,1,1.69,3.96,10.15,5.18,5.17
2013,1,-0.2,-0.7,2.2,5.2,8.5,11.9,11.4,8.9,8.3,2.4,2.7,0.63,2.23,10.62,6.52,5.16
2014,2.1,2.5,2.8,5.3,7.3,9.8,11.5,9.9,9.7,7.8,4.8,1.5,2.42,5.13,10.4,7.43,6.26
2015,0.8,0.5,1.9,3,5.7,8.1,10.2,10.6,7.6,6.3,5.3,5.2,0.93,3.53,9.66,6.42,5.47
2016,1.8,0.6,1.6,2.5,6.7,10,11.3,11.3,10.9,6.2,1.7,2.9,2.59,3.63,10.88,6.28,5.65
2017,1,2.6,3.6,3.8,7.4,10.5,11,10.5,9,8.1,2.7,1.3,2.11,4.96,10.69,6.62,5.99
2018,1.4,-0.7,0.7,4.8,6.9,9.8,11.9,11.1,8.4,5.8,4.5,3.2,0.72,4.14,10.97,6.23,5.7
2019,0.8,2,3.5,3.8,5.5,9.2,12.1,11.7,9.1,5.7,2.7,2.4,2,4.25,10.99,5.82,5.72
2020,3,2.1,1.9,4,6.1,9.8,10.4,11.9,8.6,6.4,4.8,1.9,2.51,3.99,10.73,6.59,5.92
2021,-0.5,1.1,3,0.5,4.9,9.8,12.1,11.1,10.7,7.8,4,2.8,0.84,2.81,11.05,7.51,5.65
2022,1.7,2.5,2.3,3.5,7.8,9.3,11.8,,,,,,2.31,4.55,,,
